ABTEILUNG;NUMMER;CODE;NAME;EINHEIT;REF_UNTEN M;REF_OBEN M;REF_UNTEN W;REF_OBEN W
BLUT-CHEMIE;29530;C3dIgG;Immunkomplex IgG (-C3d) qn;µg/ml;<;40;<;40
BLUT-CHEMIE;175;C3DIGG;C3d-IgG Imnkpl.;µgHAIgG/ml;<;8;<;8
BLUT-CHEMIE;30073;DAO;Diaminooxidase;U/ml;>;10;>;10
BLUT-CHEMIE;30074;Dapto;Daptomycin;mg/l;;;;
BLUT-CHEMIE;111;DBZ;Dibucainzahl;;60;90;60;90
BLUT-CHEMIE;17896;DBZ;Dibucainzahl;;>;0.75;>;0.75
BLUT-CHEMIE;37763;Dehydroaripi; Dehydroaripiprazol;µmol/l;;;;
BLUT-CHEMIE;35349;DESE;Desethylamiodaron;µmol/l;;;;
BLUT-CHEMIE;21283;DESE;Desethylamiodaron;µmol/l;0.5;3.5;0.5;3.5
BLUT-CHEMIE;11519;Desipramin;Desipramin;µmol/l;;;;
BLUT-CHEMIE;10872;Desipramin;Desipramin;µg/l;150;300;150;300
BLUT-CHEMIE;41835;Desm; N-Desmethylsertralin;µmol/l;;;;
BLUT-CHEMIE;30162;Desm; Desmethylsertralin;µmol/l;;;;
BLUT-CHEMIE;38258;Desmethyl; Desmethylmirtazapin;nmol/l;;;;
BLUT-CHEMIE;41832;Desmethyl; N-Desmethylmirtazapin;nmol/l;;;;
BLUT-CHEMIE;43067;Desmethylclo; Desmethyl-Clomipramin;nmol/l;;;;
BLUT-CHEMIE;38226;Desmethylescit; Desmethylescitalopram;nmol/l;;;;
BLUT-CHEMIE;38135;Desmethylolanzapin; Desmethylolanzapin;nmol/l;;;;
BLUT-CHEMIE;36510;DHEA;DHEA;µg/l;0.52;5.18;0.36;7.82
BLUT-CHEMIE;38207;DHEA;DHEA;nmol/l;4.9;43.3;2.8;36.4
BLUT-CHEMIE;23110;DHEA;DHEA;µg/l;0.1;1.7;0.1;1.5
BLUT-CHEMIE;21919;DHEA;DHEA;ng/ml;1.8;12.5;1.3;9.8
BLUT-CHEMIE;15357;DHEAS-DXI;DHEA-S;µmol/l;;;;
BLUT-CHEMIE;15358;DHEAS<10;DHEA-S;µmol/l;<;1.4;<;1.4
BLUT-CHEMIE;15359;DHEAS<50;DHEA-S;µmol/l;<;17.4;;
BLUT-CHEMIE;15360;DHEAS>50;DHEA-S;µmol/l;<;6.4;;
BLUT-CHEMIE;23111;DHEA0-10;DHEA;µg/l;0.3;3.5;0.3;3.5
BLUT-CHEMIE;23112;DHEA11-20;DHEA;µg/l;0.3;7;0.3;7
BLUT-CHEMIE;23113;DHEA21-30;DHEA;µg/l;1;7.3;1;7
BLUT-CHEMIE;23114;DHEA31-40;DHEA;µg/l;0.75;5.1;0.55;5
BLUT-CHEMIE;23115;DHEA41-50;DHEA;µg/l;0.7;4.6;0.4;3.6
BLUT-CHEMIE;23116;DHEA51-60;DHEA;µg/l;0.55;4.6;0.3;2.8
BLUT-CHEMIE;23117;DHEA61-70;DHEA;µg/l;0.4;2.1;0.1;1.8
BLUT-CHEMIE;11692;DHT;Dihydrotestosteron;nmol/l;;;;
BLUT-CHEMIE;42778;DHT_F_19-99;Dihydrotestosteron;nmol/l;;;<;0.7
BLUT-CHEMIE;42777;DHT_M_19-99;Dihydrotestosteron;nmol/l;0.9;3.4;;
BLUT-CHEMIE;42772;DHT_2;Dihydrotestosteron;nmol/l;;;;
BLUT-CHEMIE;21383;Diazepam;Diazepam;ng/ml;;;;
BLUT-CHEMIE;38142;Diaz+Meta;Diazepam+Metabolite;ng/ml;100;2500;100;2500
BLUT-CHEMIE;14835;Dibenzepin;Dibenzepin (Noveril);µmol/l;0.08;0.85;0.08;0.85
BLUT-CHEMIE;18271;Diclo;Diclofenac;µmol/l;0.17;8.44;0.17;8.44
BLUT-CHEMIE;37820;DIGITOX;Digitoxin;µg/l;10;30;10;30
BLUT-CHEMIE;11555;DIGITOX;Digitoxin;nmol/l;13.1;39.3;13.1;39.3
BLUT-CHEMIE;280;DIGOX;Digoxin;µg/l;0.8;2;0.8;2
BLUT-CHEMIE;14790;Digox-DXI;Digoxin;µg/l;1;2;1;2
BLUT-CHEMIE;21504;Digox-DXI;Digoxin;µg/l;0.5;0.8;0.5;0.8
BLUT-CHEMIE;38363;Dmcitalo; Desmethylcitalopram;nmol/l;;;;
BLUT-CHEMIE;29997;Dopamin; Dopamin;nmol/l;0.01;0.38;0.01;0.38
BLUT-CHEMIE;13884;Doxepin;Doxepin+Nordoxp.;nmol/l;180;540;180;540
BLUT-CHEMIE;10864;Doxepin;Doxepin;µg/l;20;150;20;150
BLUT-CHEMIE;21627;Doxy;Doxycyclin;mg/l;1;5;1;5
BLUT-CHEMIE;22236;Dulo;Duloxetin;nmol/l;101;400;101;400
BLUT-CHEMIE;18227;Dulo;Duloxetin;nmol/l;200;400;200;400
BLUT-CHEMIE;10776;D3;25-OH-Vitamin D3;µg/l;9;45;9;45
BLUT-CHEMIE;17735;D3-1,25-OH;1,25-OH-Vitamin D3;ng/l;20;135;20;135
BLUT-CHEMIE;12003;D3-1,25-OH;1,25-OH-Vitamin D3;ng/l;20;63;20;63
BLUT-CHEMIE;29918;D3-1,25-OH;1,25-OH-Vitamin D3;ng/l;23;93;23;93
BLUT-CHEMIE;35180;D3-1,25-OH;1,25-OH-Vitamin D3;pmol/l;36.5;216.2;36.5;216.2
BLUT-CHEMIE;31265;D3-1,25-OH;1,25-OH-Vitamin D3;ng/l;22;111;22;111
BLUT-CHEMIE;35181;D3-1,25-OH 0-2;1,25-OH-Vitamin D3;pmol/l;60;370;60;370
BLUT-CHEMIE;35186;D3-1,25-OH 11-12;1,25-OH-Vitamin D3;pmol/l;36;173;36;173
BLUT-CHEMIE;35187;D3-1,25-OH 13-14;1,25-OH-Vitamin D3;pmol/l;41;226;41;226
BLUT-CHEMIE;35188;D3-1,25-OH 15-16;1,25-OH-Vitamin D3;pmol/l;77;211;77;211
BLUT-CHEMIE;35189;D3-1,25-OH 17-18;1,25-OH-Vitamin D3;pmol/l;67;197;67;197
BLUT-CHEMIE;35182;D3-1,25-OH 3-4;1,25-OH-Vitamin D3;pmol/l;53;374;53;374
BLUT-CHEMIE;35183;D3-1,25-OH 5-6;1,25-OH-Vitamin D3;pmol/l;43;262;43;262
BLUT-CHEMIE;35184;D3-1,25-OH 7-8;1,25-OH-Vitamin D3;pmol/l;43;192;43;192
BLUT-CHEMIE;35185;D3-1,25-OH 9-10;1,25-OH-Vitamin D3;pmol/l;36;214;36;214
BLUT-CHEMIE;29919;D3-1,25-OH-0-2;1,25-OH-Vitamin D3;ng/l;25;154;25;154
BLUT-CHEMIE;29924;D3-1,25-OH-11-12;1,25-OH-Vitamin D3;ng/l;15;72;15;72
BLUT-CHEMIE;29925;D3-1,25-OH-13-14;1,25-OH-Vitamin D3;ng/l;17;94;17;94
BLUT-CHEMIE;29926;D3-1,25-OH-15-16;1,25-OH-Vitamin D3;ng/l;32;88;32;88
BLUT-CHEMIE;29927;D3-1,25-OH-17-18;1,25-OH-Vitamin D3;ng/l;28;82;28;82
BLUT-CHEMIE;29920;D3-1,25-OH-3-4;1,25-OH-Vitamin D3;ng/l;22;156;22;156
BLUT-CHEMIE;29921;D3-1,25-OH-5-6;1,25-OH-Vitamin D3;ng/l;18;109;18;109
BLUT-CHEMIE;29922;D3-1,25-OH-7-8;1,25-OH-Vitamin D3;ng/l;18;80;18;80
BLUT-CHEMIE;29923;D3-1,25-OH-9-10;1,25-OH-Vitamin D3;ng/l;15;89;15;89
BLUT-CHEMIE;22089;D3-25-OH;25-OH-Vitamin D (C.);nmol/l;75;250;75;250
BLUT-CHEMIE;22211;D3-25-OH-Arch;25-OH-Vitamin D (A.);nmol/l;75;250;75;250
BLUT-CHEMIE;30372;D3-25-OH-Dxl;25-OH-Vitamin D Total;nmol/l;75;250;75;250
BLUT-CHEMIE;43167;D3-25-OH-Dxl NP;25-OH-Vitamin D T. NP;nmol/l;75;250;75;250
BLUT-CHEMIE;18490;ECP;ECP;µg/l;<;13.3;<;13.3
BLUT-CHEMIE;106;ECP;ECP;µg/l;2.3;16;2.3;16
BLUT-CHEMIE;13766;ECP;ECP;µg/l;<;24;<;24
BLUT-CHEMIE;37688;eGFR;GFR (Cyst.);ml/min/1.73 m²;>;60;>;60
BLUT-CHEMIE;22125;eGFR;GFR(CKD-EPI);ml/min/1.73m²;>;60;>;60
BLUT-CHEMIE;14582;EISEN-AU;Eisen;µmol/l;10;27;10;27
BLUT-CHEMIE;258;EndomisiumAK;Endomisium AK;;;;;
BLUT-CHEMIE;13777;Endomysin IgA;Endomysin IgA;U/ml;<;20;<;20
BLUT-CHEMIE;13778;Endomysin IgG;Endomysin IgG;U/ml;<;20;<;20
BLUT-CHEMIE;10591;EP-AMY;Enzym-EP (Amy);;;;;
BLUT-CHEMIE;10592;EP-AP;Enzym-EP (ALP);;;;;
BLUT-CHEMIE;10593;EP-CK;Enzym-EP (CK);;;;;
BLUT-CHEMIE;10594;EP-LDH;Enzym-EP (LDH);;;;;
BLUT-CHEMIE;287;EPO;Erythropoietin;U/l;1.6;34;1.6;34
BLUT-CHEMIE;14813;EPO-DXI;Erythropoietin;U/l;1.6;34;1.6;34
BLUT-CHEMIE;100179;epo-1;EPO-1;;;;;
BLUT-CHEMIE;100180;epo-2;EPO-2;;;;;
BLUT-CHEMIE;100181;epo-3;EPO-3;;;;;
BLUT-CHEMIE;100182;epo-4;EPO-4;;;;;
BLUT-CHEMIE;21553;e-PTH;PTH (Entnahme + Laboretikette );ng/l;15;65;15;65
BLUT-CHEMIE;13700;Escitalopram;Escitalopram;nmol/l;20;125;20;125
BLUT-CHEMIE;22249;Escitalopram;Escitalopram;nmol/l;46;247;46;247
BLUT-CHEMIE;38225;EscitalopramTitel;Escitalopram;;;;;
BLUT-CHEMIE;273;Estrad;Estradiol (E2);pg/ml;<;50;;
BLUT-CHEMIE;10972;Estrad;Estradiol (E2);pg/ml;;;;
BLUT-CHEMIE;13961;Estrad-DXI;Estradiol (E2);ng/l;;;;
BLUT-CHEMIE;16049;Estrad-DXI-Männer;Estradiol (E2);ng/l;<;88;;
BLUT-CHEMIE;15363;Estrad-I2000;Estradiol (E2);ng/l;;;;
BLUT-CHEMIE;13113;Estriol;Estriol (E3) frei;nmol/l;;;;
BLUT-CHEMIE;101;Estriol;Estriol;µg/l;;;;
BLUT-CHEMIE;42046;Estriol;Estriol (E3) frei;nmol/l;<;0.4;<;0.2
BLUT-CHEMIE;27432;ETHAMB;Ethambutol;mg/l;;;;
BLUT-CHEMIE;20674;ETHO;Ethosuximid;µmol/l;280;700;280;700
BLUT-CHEMIE;40;ETHO;Ethosuximid;mg/l;40;100;40;100
BLUT-CHEMIE;15645;ETT Preis;Trimestertest (Estriol-Preis);;;;;
BLUT-CHEMIE;15563;ETT-2;PAPP-A;;;;16;
BLUT-CHEMIE;14573;Evrs;Everolimus;µg/l;;;;
BLUT-CHEMIE;21502;EvrsZH;Everolimus;µg/l;;;;
BLUT-CHEMIE;40585;E02-SDS;E02 SDS Jahreskontrolle (Chemie);;;;;
BLUT-CHEMIE;32559;E1;Estron (E1);ng/l;10;60;;
BLUT-CHEMIE;32680;FAI;FAI;; ; ;;
BLUT-CHEMIE;10792;FAI;FAI;;14.8;94.8;;
BLUT-CHEMIE;217;FaktorB;Faktor B;mg/l;191;382;191;382
BLUT-CHEMIE;255;FaktorD;Faktor D;mg/l;0.4;9.7;0.4;9.7
BLUT-CHEMIE;254;FaktorH;Faktor H;mg/l;345;590;345;590
BLUT-CHEMIE;37319;fbhCG; freies ß-hCG;IU/l;;;;
BLUT-CHEMIE;21653;Fent;Fentanyl;µg/l;;;;
BLUT-CHEMIE;37274;Fer-DXI;Ferritin;µg/l;30;330;30;300
BLUT-CHEMIE;13946;Fer-DXI;Ferritin;µg/l;25;330;10;300
BLUT-CHEMIE;20885;FFS;Freie Fettsäuren;µmol/l;100;600;100;450
BLUT-CHEMIE;242;FFS;FFS;µmol/l;300;1000;300;1000
BLUT-CHEMIE;43007;FFS 0-1Jmf;Freie Fettsäuren;µmol/l;130;1600;130;1600
BLUT-CHEMIE;43008;FFS 1-18Jmf;Freie Fettsäuren;µmol/l;100;770;100;770
BLUT-CHEMIE;42446;FGF23;FGF23 intact;ng/l;23.2;95.4;23.2;95.4
BLUT-CHEMIE;21747;Fl;Fluorid;µmol/l;<;1.58;<;1.58
BLUT-CHEMIE;11356;Fl;Fluorid;µmol/l;<;13;<;13
BLUT-CHEMIE;21278;Flec;Flecainid;µmol/l;0.48;2.42;0.48;2.42
BLUT-CHEMIE;18668;FLK;Freie Leichtkette Kappa;mg/l;3.3;19.4;3.3;19.4
BLUT-CHEMIE;22474;FLL;Kappa/Lambda - Quotient;;0.26;1.65;0.26;1.65
BLUT-CHEMIE;18667;FLL;Freie Leichtkette Lambda;mg/l;5.7;26.3;5.7;26.3
BLUT-CHEMIE;18089;Fluc;Fluconazol;mg/l;1;15;1;15
BLUT-CHEMIE;27447;Fluni;Flunitrazepam;nmol/l;16;48;16;48
BLUT-CHEMIE;10865;Fluoxetin;Fluoxetin;µmol/l;;;;
BLUT-CHEMIE;38294;Fluoxetin;Fluoxetin:;;;;;
BLUT-CHEMIE;15349;Flupentixol;Flupentixol;nmol/l;2.3;34.5;2.3;34.5
BLUT-CHEMIE;22379;Flupentixol;Flupentixol;nmol/l;2.3;23;2.3;23
BLUT-CHEMIE;11122;Fluphenazin;Fluphenazin;µg/l;1;10;1;10
BLUT-CHEMIE;13779;Fluphenazin;Fluphenazin;µg/l;0.2;4;0.2;4
BLUT-CHEMIE;15640;Fluphenazin;Fluphenazin;µg/l;1.14;4.57;1.14;4.57
BLUT-CHEMIE;13885;Fluvoxamin;Fluvoxamin;µmol/l;0.47;0.94;0.47;0.94
BLUT-CHEMIE;23120;Fluvoxamin;Fluvoxamin;µmol/l;0.19;0.72;0.19;0.72
BLUT-CHEMIE;22181;FLuxNorflux; Fluox.+Norfluox.;µmol/l;0.39;1.62;0.39;1.62
BLUT-CHEMIE;22174;Fols-DXI;Folsäure (Serum);µg/l;3;20;3;20
BLUT-CHEMIE;12202;FolsE;Folsäure Ec-Haemolysat;µg/l;;;;
BLUT-CHEMIE;29542;Fols-EC;EC-Folsäure;µg/l;439;1071;439;1071
BLUT-CHEMIE;13351;Fols-EC;EC-Folsäure;µg/l;>;164;>;164
BLUT-CHEMIE;12201;FolsKonz;EC-Folsäure;µg/l;140;628;140;628
BLUT-CHEMIE;221;FPHENY;Freies Phenytoin;%;6;12;6;12
BLUT-CHEMIE;56;FRHB;Freies Hämoglobin;mg/l;<;50;<;50
BLUT-CHEMIE;14583;FRUC-AU;Fructosamine;µmol/l;205;285;205;285
BLUT-CHEMIE;42017;FRUK-AU;Fruktosamin;µmol/l;205;285;205;285
BLUT-CHEMIE;13941;FSH-DXI;FSH;U/l;;;;
BLUT-CHEMIE;40578;FSH-DXI-F-0-19;FSH;U/l;;;;
BLUT-CHEMIE;40579;FSH-DXI-F-19-999;FSH;U/l;;;;
BLUT-CHEMIE;40577;FSH-DXI-M-0-19;FSH;U/l;;;;
BLUT-CHEMIE;16047;FSH-DXI-M-19-999;FSH;U/l;1;9;;
BLUT-CHEMIE;10575;FSH-Knaben;FSH;U/l;;;;
BLUT-CHEMIE;10578;FSH-Mädchen;FSH;U/l;;;;
BLUT-CHEMIE;32506;FTesto berech.;Testo. frei berechn.;pmol/l;;;;
BLUT-CHEMIE;33353;FTesto berechnet;Testo. frei berechnet;pmol/l;;;;
BLUT-CHEMIE;30159;FTesto berechnet;Testo. frei berechn.;pmol/l;;;;
BLUT-CHEMIE;32507;FTesto f 20-46;Testo. frei berechn.;pmol/l; ; ;6;55
BLUT-CHEMIE;32508;FTesto f 47;Testo. frei berechn.;pmol/l; ; ;2;33
BLUT-CHEMIE;32509;FTesto m 20-49;Testo. frei berechn.;pmol/l;174;672; ; 
BLUT-CHEMIE;32510;FTesto m 50;Testo. frei berechn.;pmol/l;129;567; ; 
BLUT-CHEMIE;30160;FTesto 20-49;Testo. frei berechn.;pmol/l;174;672;1;34
BLUT-CHEMIE;30161;FTesto 50;Testo. frei berechn.;pmol/l;129;567;1;22
BLUT-CHEMIE;10971;FTesto0;Testost. frei;pmol/l;;;;
BLUT-CHEMIE;10559;FTesto11;Testost. frei;pmol/l;<;3.7;0.7;3.4
BLUT-CHEMIE;10560;FTesto14;Testost. frei;pmol/l;0.9;101;0.7;3.4
BLUT-CHEMIE;10561;FTesto17;Testost. frei;pmol/l;52;103;0.7;3.4
BLUT-CHEMIE;11953;FTesto3;Testost. frei;pmol/l;2.2.;14.4;2.6;10.5
BLUT-CHEMIE;11951;FTesto5;Testost. frei;pmol/l;0.5;9.2;<;0.7
BLUT-CHEMIE;11952;FTesto7;Testost. frei;pmol/l;<;3.1;<;0.5
BLUT-CHEMIE;10558;FTesto9;Testost. frei;pmol/l;<;2.1;<;0.6
BLUT-CHEMIE;11048;FT3 4Tage;T3 frei;pmol/l;4;7.4;4;7.4
BLUT-CHEMIE;15383;FT3-AxSYM;T3 frei (AxSYM);pmol/l;2.2.;5.7;2.2;5.7
BLUT-CHEMIE;13957;FT3-DXI;T3 frei (DxI);pmol/l;3.2;6;3.2;6
BLUT-CHEMIE;35779;FT3-DXI;T3 frei (DxI);pmol/l;3.5;6.4;3.5;6.4
BLUT-CHEMIE;37891;FT3-DXI<3J;T3 frei (DxI);pmol/l;;;;
BLUT-CHEMIE;15365;FT3-I2000;T3 frei;pmol/l;2.8;6.5;2.8;6.5
BLUT-CHEMIE;11046;FT4 4Tage;T4 frei;pmol/l;28;68;28;68
BLUT-CHEMIE;15384;FT4-AxSYM;T4 frei (AxSYM);pmol/l;9;24;9;24
BLUT-CHEMIE;13956;FT4-DXI;T4 frei (DxI);pmol/l;6.8;18;6.8;18
BLUT-CHEMIE;37889;FT4-DXI < 3J;T4 frei (DxI);pmol/l;;;;
BLUT-CHEMIE;15366;FT4-I2000;T4 frei;pmol/l;10.3;24.4;10.3;24.4
BLUT-CHEMIE;23121;GAB;Gabapentin;µmol/l;12;117;12;117
BLUT-CHEMIE;21554;GAB;Gabapentin;µmol/l;12;120;12;120
BLUT-CHEMIE;12073;GAB;Gabapentin;µmol/l;>12.0;;;
BLUT-CHEMIE;11077;GAD;GAD-Auto-AK;mGAD-U/ml;<;70;<;70
BLUT-CHEMIE;30889;Gallensre;Gallensäuren;µmol/l;<;10;<;10
BLUT-CHEMIE;40675;Gallensre;Gallensäuren;µmol/l;1;6;1;6
BLUT-CHEMIE;21419;Gallensre;Gallensäuren;µmol/l;<;10;<;10
BLUT-CHEMIE;35776;GAMY-AU;a-Amylase, gesamt;U/l;<;100;<;100
BLUT-CHEMIE;13767;Gastrin;Gastrin;pmol/l;12;53;12;53
BLUT-CHEMIE;199;Gastrin;Gastrin;pmol/l;;;;
BLUT-CHEMIE;29543;Gastrin;Gastrin;pmol/l;;;;
BLUT-CHEMIE;20182;Gastrinm0;Gastrin Basalwert +/- 0min;pmol/l;12;53;12;53
BLUT-CHEMIE;20181;Gastrinm15;Gastrin Basalwert -15min;pmol/l;12;53;12;53
BLUT-CHEMIE;20185;Gastrinp10;Gastrin 10min;pmol/l;12;53;12;53
BLUT-CHEMIE;20186;Gastrinp15;Gastrin 15min;pmol/l;12;53;12;53
BLUT-CHEMIE;20183;Gastrinp2;Gastrin 2min;pmol/l;12;53;12;53
BLUT-CHEMIE;20187;Gastrinp30;Gastrin 30min;pmol/l;12;53;12;53
BLUT-CHEMIE;20188;Gastrinp45;Gastrin 45min;pmol/l;12;53;12;53
BLUT-CHEMIE;20184;Gastrinp5;Gastrin 5min;pmol/l;12;53;12;53
BLUT-CHEMIE;22082;GA1;Anti-Asialo GM1 (GA1);%;<;50;<;50
BLUT-CHEMIE;33690;Genta-AU;Gentamycin;mg/l;<;1;<;1
BLUT-CHEMIE;14805;Genta-AU-nach;Gentamycin (nach);mg/l;5;10;5;10
BLUT-CHEMIE;14793;Genta-DXC;Gentamycin;mg/l;<;2;<;2
BLUT-CHEMIE;21246;GFR;GFR(CKD-EPI);ml/min/1.73m²;>;60;>;60
BLUT-CHEMIE;14535;GGT-AU;GGT;U/l;<;65;<;35
BLUT-CHEMIE;29993;GLDH;GLDH;U/l;<;6.4;<;4.8
BLUT-CHEMIE;13780;Gliadin AK IgA;Gliadin AK IgA;U/ml;<;20;<;20
BLUT-CHEMIE;259;Gliadin AK IgA;Gliadin AK IgA;MOC;<;1;<;1
BLUT-CHEMIE;260;Gliadin AK IgG;Gliadin AK IgG;MOC;<;1;<;1
BLUT-CHEMIE;13781;Gliadin AK IgG;Gliadin AK IgG;U/ml;<;30;<;30
BLUT-CHEMIE;11061;Glibenclamid; Glibenclamid;;;;;
BLUT-CHEMIE;11060;Glibornurid; Glibornurid;;;;;
BLUT-CHEMIE;11059;Gliclazid; Gliclazid;;;;;
BLUT-CHEMIE;11062;Glimepirid; Glimepirid;;;;;
BLUT-CHEMIE;11058;Glipizid; Glipizid;;;;;
BLUT-CHEMIE;11954;GLUC;Glucose Liquor;mmol/l;2.5;4.4;2.5;4.4
BLUT-CHEMIE;14584;Gluc-AU;Glucose (nü);mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;14611;Gluc-AU-Dia;Glucose (Dialysat);mmol/l;;;;
BLUT-CHEMIE;40904;Gluc-DXC;Glucose 1h NaF;mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;40905;Gluc-DXC;Glucose 2h NaF;mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21745;Gluc-DXC;Glucose (nach 50g Glucosepulver);mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21396;Gluc-DXC;Glucose 06 Uhr 30;mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21397;Gluc-DXC;Glucose 10 Uhr 30;mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21398;Gluc-DXC;Glucose 16 Uhr 30;mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21399;Gluc-DXC;Glucose 22 Uhr 00;mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21400;Gluc-DXC;Glucose 02 Uhr 00;mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21401;Gluc-DXC;Glucose 1h;mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21402;Gluc-DXC;Glucose 2h;mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;42170;Gluc-DXC;Glucose (nü) NaF;mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21582;Gluc-HK;Glucose (nü);mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21746;Gluc-HK;Glucose (nü);mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;21584;Gluc-HK-Dia;Glucose (Dialysat);mmol/l;;;;
BLUT-CHEMIE;72;Gluc-Kap;Glucose kap.;mmol/l;;;;
BLUT-CHEMIE;15350;GlucNaF-AU;Glucose (NaF);mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;37885;GlucNaF-DXC-120;Glucose (NaF) nach 120;;;;;
BLUT-CHEMIE;37884;GlucNaF-DXC-60;Glucose (NaF) nach 60;;;;;
BLUT-CHEMIE;21586;GlucNaF-HK;Glucose (NaF);mmol/l;3.9;5.6;3.9;5.6
BLUT-CHEMIE;10806;GLUC120;Glucose (120 min);mmol/l;<;7.8;<;7.8
BLUT-CHEMIE;11119;Glukagon;Glukagon;ng/l;60;150;60;150
BLUT-CHEMIE;18439;Glukagon;Glukagon;pmol/l;17;51;17;51
BLUT-CHEMIE;11677;Glukagon;Glukagon;ng/l;60;177;60;177
BLUT-CHEMIE;38975;Glukagon;Glukagon;pmol/l;<;18;<;18
BLUT-CHEMIE;11592;GM1;Anti-Gangliosid GM1;;<;1;<;1
BLUT-CHEMIE;37667;Goli;Golimumab Talspiegel;µg/ml;;;;
BLUT-CHEMIE;37668;Goli;Golimumab-Antikörper;ng/ml;<;5;<;5
BLUT-CHEMIE;29917;G6PDH;Gluc-6-Phos-DH;mU/Ec;221;570;221;570
BLUT-CHEMIE;30167;G6PDH;Gluc-6-Phos-DH;U/g Hb;7;20.5;7;20.5
BLUT-CHEMIE;74;Haemoglobin-EP;Hämoglobin-EP;;;;;
BLUT-CHEMIE;27357;Haldol;Haloperidol;nmol/l;2.66;26.6;2.66;26.6
BLUT-CHEMIE;14777;Hapto-AU;Haptoglobin;g/l;0.3;2;0.3;2
BLUT-CHEMIE;22351;HBA1C;Hb-A 1c (HPLC) Adams;%;4;5.7;4;5.7
BLUT-CHEMIE;22175;HBA1C;Hb-A 1c (HPLC) Loyola Studie;%;;;;
BLUT-CHEMIE;38739;HBA1C;HbA1c (Kombiniert mit Häma);%;4;5.7;4;5.7
BLUT-CHEMIE;293;HBA1C;Hb-A 1c (HPLC);%;4;5.7;4;5.7
BLUT-CHEMIE;32636;HBA1C;HbA1c;%;4;5.7;4;5.7
BLUT-CHEMIE;86;HCG-AXSYM;ß-HCG (alt);U/l;<;5;;
BLUT-CHEMIE;256;HCS;Homocystein;µmol/l;<;15;<;15
BLUT-CHEMIE;14587;HDL-AU;HDL-Cholesterin;mmol/l;>;1;>;1
BLUT-CHEMIE;32606;HDL-AU;HDL-Cholesterin;mmol/l;>;1;>;1
BLUT-CHEMIE;12427;HDL-STUDIE;HDL-Cholesterin (Studie);mmol/l;>;1;>;1
BLUT-CHEMIE;37676;hGH;hGH (Somatotropin);µg/l;<;2;<;8.3
BLUT-CHEMIE;10543;HGH;HGH (Somatotropin);pmol/l;<;228;<;319
BLUT-CHEMIE;10540;HGH;HGH (Somatotropin);pmol/l;96;828;96;828
BLUT-CHEMIE;10542;HGH;HGH (Somatotropin);pmol/l;18;246;18;273
BLUT-CHEMIE;10541;HGH;HGH (Somatotropin);pmol/l;68;619;68;619
BLUT-CHEMIE;10539;HGH;HGH (Somatotropin);pmol/l;309;1219;309;1219
BLUT-CHEMIE;15282;HGH;HGH (Somatotropin);pmol/l;<;45.5;<;455
BLUT-CHEMIE;20882;HGH;HGH (Somatotropin);µg/l;<;10;<;10
BLUT-CHEMIE;21972;HGH;HGH (Somatotropin);µg/l;<;3;<;8
BLUT-CHEMIE;21382;HGH;HGH (Somatotropin);µg/l;<;0.8;<;8
BLUT-CHEMIE;15407;HGH 0-7T;HGH (Somatotropin);pmol/l;53.6;1228.5;109.2;1092
BLUT-CHEMIE;15413;HGH 11J-12J;HGH (Somatotropin);pmol/l;3.6;213.8;5.4;313.9
BLUT-CHEMIE;15414;HGH 12J-13J;HGH (Somatotropin);pmol/l;5.4;404.9;6.3;509.6
BLUT-CHEMIE;15415;HGH 13J-14J;HGH (Somatotropin);pmol/l;4.5;359.4;9.5;809.9
BLUT-CHEMIE;15416;HGH 14J-15J;HGH (Somatotropin);pmol/l;4;323;6.3;450.4
BLUT-CHEMIE;15417;HGH 15J-16J;HGH (Somatotropin);pmol/l;4.5;354.9;10.9;455
BLUT-CHEMIE;15418;HGH 16J-17J;HGH (Somatotropin);pmol/l;3.6;518.7;11.8;532.3
BLUT-CHEMIE;15409;HGH 16T-3J;HGH (Somatotropin);pmol/l;19.5;109.2;22.7;159.2
BLUT-CHEMIE;15419;HGH 17J-18J;HGH (Somatotropin);pmol/l;10;555.1;13.6;491.4
BLUT-CHEMIE;15420;HGH 18J-19J;HGH (Somatotropin);pmol/l;44.1;213.8;10.9;195.6
BLUT-CHEMIE;15406;HGH >20J;HGH (Somatotropin);pmol/l;<;45.5;<;455
BLUT-CHEMIE;18064;HGH >20J;HGH (Somatotropin);pmol/l;<;182;<;409.5
